DEBUG (1): send 1 1, time: 0:0:0.585937510
DEBUG (13): receive 1 1, time: 0:0:0.588317867
DEBUG (9): receive 1 1, time: 0:0:0.588317867
DEBUG (10): receive 1 1, time: 0:0:0.588317867
DEBUG (8): receive 1 1, time: 0:0:0.588317867
DEBUG (4): receive 1 1, time: 0:0:0.588317867
DEBUG (11): receive 1 1, time: 0:0:0.588317867
DEBUG (12): receive 1 1, time: 0:0:0.588317867
DEBUG (14): receive 1 1, time: 0:0:0.588317867
DEBUG (5): receive 1 1, time: 0:0:0.588317867
DEBUG (15): receive 1 1, time: 0:0:0.588317867
DEBUG (6): receive 1 1, time: 0:0:0.588317867
DEBUG (3): receive 1 1, time: 0:0:0.588317867
DEBUG (3): send 1 1, time: 0:0:0.602539072
DEBUG (4): send 1 1, time: 0:0:0.607421885
DEBUG (7): receive 1 1, time: 0:0:0.608886691
DEBUG (5): receive 1 1, time: 0:0:0.608886691
DEBUG (6): receive 1 1, time: 0:0:0.608886691
DEBUG (10): receive 1 1, time: 0:0:0.608886691
DEBUG (17): receive 1 1, time: 0:0:0.608886691
DEBUG (14): receive 1 1, time: 0:0:0.608886691
DEBUG (16): receive 1 1, time: 0:0:0.608886691
DEBUG (13): receive 1 1, time: 0:0:0.608886691
DEBUG (12): receive 1 1, time: 0:0:0.608886691
DEBUG (8): receive 1 1, time: 0:0:0.608886691
DEBUG (4): receive 1 1, time: 0:0:0.608886691
DEBUG (1): receive 1 1, time: 0:0:0.608886691
DEBUG (5): send 1 1, time: 0:0:0.612304697
DEBUG (7): receive 1 1, time: 0:0:0.615646324
DEBUG (5): receive 1 1, time: 0:0:0.615646324
DEBUG (14): receive 1 1, time: 0:0:0.615646324
DEBUG (6): receive 1 1, time: 0:0:0.615646324
DEBUG (10): receive 1 1, time: 0:0:0.615646324
DEBUG (8): receive 1 1, time: 0:0:0.615646324
DEBUG (16): receive 1 1, time: 0:0:0.615646324
DEBUG (17): receive 1 1, time: 0:0:0.615646324
DEBUG (1): receive 1 1, time: 0:0:0.615646324
DEBUG (13): receive 1 1, time: 0:0:0.615646324
DEBUG (3): receive 1 1, time: 0:0:0.615646324
DEBUG (12): receive 1 1, time: 0:0:0.615646324
DEBUG (11): receive 1 1, time: 0:0:0.615646324
DEBUG (6): send 1 1, time: 0:0:0.617187510
DEBUG (12): receive 1 1, time: 0:0:0.618759127
DEBUG (15): receive 1 1, time: 0:0:0.618759127
DEBUG (7): receive 1 1, time: 0:0:0.618759127
DEBUG (11): receive 1 1, time: 0:0:0.618759127
DEBUG (8): send 1 1, time: 0:0:0.626953135
DEBUG (9): send 1 1, time: 0:0:0.631835947
DEBUG (13): receive 1 1, time: 0:0:0.633483887
DEBUG (11): receive 1 1, time: 0:0:0.633483887
DEBUG (2): receive 1 1, time: 0:0:0.633483887
DEBUG (1): receive 1 1, time: 0:0:0.633483887
DEBUG (7): receive 1 1, time: 0:0:0.633483887
DEBUG (6): receive 1 1, time: 0:0:0.633483887
DEBUG (5): receive 1 1, time: 0:0:0.633483887
DEBUG (10): receive 1 1, time: 0:0:0.633483887
DEBUG (14): receive 1 1, time: 0:0:0.633483887
DEBUG (8): receive 1 1, time: 0:0:0.633483887
DEBUG (17): receive 1 1, time: 0:0:0.633483887
DEBUG (16): receive 1 1, time: 0:0:0.633483887
DEBUG (12): receive 1 1, time: 0:0:0.633483887
DEBUG (9): receive 1 1, time: 0:0:0.636337235
DEBUG (17): receive 1 1, time: 0:0:0.636337235
DEBUG (7): receive 1 1, time: 0:0:0.636337235
DEBUG (6): receive 1 1, time: 0:0:0.636337235
DEBUG (4): receive 1 1, time: 0:0:0.636337235
DEBUG (3): receive 1 1, time: 0:0:0.636337235
DEBUG (2): receive 1 1, time: 0:0:0.636337235
DEBUG (10): receive 1 1, time: 0:0:0.636337235
DEBUG (12): receive 1 1, time: 0:0:0.636337235
